ds,base,quote,region,rate,source,rate_type,side
2015-01-01,USD,YER,SANA,249.53,goldvision_synthetic,mid,both
2015-01-01,USD,YER,HODEIDAH,250.88,goldvision_synthetic,sell,both
2015-01-01,USD,YER,HODEIDAH,253.4,goldvision_synthetic,buy,both
2015-01-01,USD,YER,HODEIDAH,252.14,goldvision_synthetic,mid,both
2015-01-01,USD,YER,TAIZ,250.77,goldvision_synthetic,buy,both
2015-01-01,USD,YER,TAIZ,249.53,goldvision_synthetic,mid,both
2015-01-01,USD,YER,TAIZ,248.28,goldvision_synthetic,sell,both
2015-01-01,USD,YER,ADEN,250.29,goldvision_synthetic,buy,both
2015-01-01,USD,YER,ADEN,249.04,goldvision_synthetic,mid,both
2015-01-01,USD,YER,SANA,248.28,goldvision_synthetic,sell,both
2015-01-01,USD,YER,SANA,250.77,goldvision_synthetic,buy,both
2015-01-01,USD,YER,ADEN,247.8,goldvision_synthetic,sell,both
2015-01-02,USD,YER,TAIZ,244.98,goldvision_synthetic,buy,both
2015-01-02,USD,YER,HODEIDAH,246.98,goldvision_synthetic,sell,both
2015-01-02,USD,YER,HODEIDAH,249.47,goldvision_synthetic,buy,both
2015-01-02,USD,YER,HODEIDAH,248.23,goldvision_synthetic,mid,both
2015-01-02,USD,YER,TAIZ,243.76,goldvision_synthetic,mid,both
2015-01-02,USD,YER,TAIZ,242.55,goldvision_synthetic,sell,both
2015-01-02,USD,YER,ADEN,249.7,goldvision_synthetic,buy,both
2015-01-02,USD,YER,ADEN,248.46,goldvision_synthetic,mid,both
2015-01-02,USD,YER,SANA,240.64,goldvision_synthetic,sell,both
2015-01-02,USD,YER,SANA,243.06,goldvision_synthetic,buy,both
2015-01-02,USD,YER,SANA,241.85,goldvision_synthetic,mid,both
2015-01-02,USD,YER,ADEN,247.22,goldvision_synthetic,sell,both
2015-01-03,USD,YER,HODEIDAH,258.38,goldvision_synthetic,sell,both
2015-01-03,USD,YER,HODEIDAH,260.98,goldvision_synthetic,buy,both
2015-01-03,USD,YER,HODEIDAH,259.68,goldvision_synthetic,mid,both
2015-01-03,USD,YER,TAIZ,265.31,goldvision_synthetic,sell,both
2015-01-03,USD,YER,TAIZ,267.97,goldvision_synthetic,buy,both
2015-01-03,USD,YER,TAIZ,266.64,goldvision_synthetic,mid,both
2015-01-03,USD,YER,ADEN,266.55,goldvision_synthetic,sell,both
2015-01-03,USD,YER,ADEN,267.89,goldvision_synthetic,mid,both
2015-01-03,USD,YER,SANA,267.87,goldvision_synthetic,sell,both
2015-01-03,USD,YER,SANA,270.57,goldvision_synthetic,buy,both
2015-01-03,USD,YER,SANA,269.22,goldvision_synthetic,mid,both
2015-01-03,USD,YER,ADEN,269.23,goldvision_synthetic,buy,both
2015-01-04,USD,YER,TAIZ,260.0,goldvision_synthetic,buy,both
2015-01-04,USD,YER,HODEIDAH,261.49,goldvision_synthetic,sell,both
2015-01-04,USD,YER,HODEIDAH,264.12,goldvision_synthetic,buy,both
2015-01-04,USD,YER,HODEIDAH,262.8,goldvision_synthetic,mid,both
2015-01-04,USD,YER,TAIZ,258.71,goldvision_synthetic,mid,both
2015-01-04,USD,YER,TAIZ,257.41,goldvision_synthetic,sell,both
2015-01-04,USD,YER,ADEN,258.81,goldvision_synthetic,buy,both
2015-01-04,USD,YER,SANA,256.6,goldvision_synthetic,mid,both
2015-01-04,USD,YER,SANA,257.88,goldvision_synthetic,buy,both
2015-01-04,USD,YER,ADEN,256.23,goldvision_synthetic,sell,both
2015-01-04,USD,YER,ADEN,257.52,goldvision_synthetic,mid,both
2015-01-04,USD,YER,SANA,255.31,goldvision_synthetic,sell,both
2015-01-05,USD,YER,TAIZ,287.76,goldvision_synthetic,buy,both
2015-01-05,USD,YER,HODEIDAH,290.44,goldvision_synthetic,sell,both
2015-01-05,USD,YER,HODEIDAH,293.36,goldvision_synthetic,buy,both
2015-01-05,USD,YER,HODEIDAH,291.9,goldvision_synthetic,mid,both
2015-01-05,USD,YER,TAIZ,284.89,goldvision_synthetic,sell,both
2015-01-05,USD,YER,TAIZ,286.33,goldvision_synthetic,mid,both
2015-01-05,USD,YER,ADEN,281.95,goldvision_synthetic,sell,both
2015-01-05,USD,YER,ADEN,284.78,goldvision_synthetic,buy,both
2015-01-05,USD,YER,ADEN,283.36,goldvision_synthetic,mid,both
2015-01-05,USD,YER,SANA,286.24,goldvision_synthetic,sell,both
2015-01-05,USD,YER,SANA,289.11,goldvision_synthetic,buy,both
2015-01-05,USD,YER,SANA,287.67,goldvision_synthetic,mid,both
2015-01-06,USD,YER,HODEIDAH,248.25,goldvision_synthetic,buy,both
2015-01-06,USD,YER,HODEIDAH,247.02,goldvision_synthetic,mid,both
2015-01-06,USD,YER,TAIZ,241.02,goldvision_synthetic,sell,both
2015-01-06,USD,YER,TAIZ,243.45,goldvision_synthetic,buy,both
2015-01-06,USD,YER,TAIZ,242.24,goldvision_synthetic,mid,both
2015-01-06,USD,YER,HODEIDAH,245.78,goldvision_synthetic,sell,both
2015-01-06,USD,YER,ADEN,245.11,goldvision_synthetic,sell,both
2015-01-06,USD,YER,ADEN,246.35,goldvision_synthetic,mid,both
2015-01-06,USD,YER,SANA,243.77,goldvision_synthetic,sell,both
2015-01-06,USD,YER,SANA,246.22,goldvision_synthetic,buy,both
2015-01-06,USD,YER,SANA,245.0,goldvision_synthetic,mid,both
2015-01-06,USD,YER,ADEN,247.58,goldvision_synthetic,buy,both
2015-01-07,USD,YER,HODEIDAH,258.73,goldvision_synthetic,sell,both
2015-01-07,USD,YER,HODEIDAH,261.33,goldvision_synthetic,buy,both
2015-01-07,USD,YER,HODEIDAH,260.03,goldvision_synthetic,mid,both
2015-01-07,USD,YER,TAIZ,265.64,goldvision_synthetic,sell,both
2015-01-07,USD,YER,TAIZ,268.31,goldvision_synthetic,buy,both
2015-01-07,USD,YER,TAIZ,266.98,goldvision_synthetic,mid,both
2015-01-07,USD,YER,ADEN,266.7,goldvision_synthetic,sell,both
2015-01-07,USD,YER,ADEN,268.04,goldvision_synthetic,mid,both
2015-01-07,USD,YER,SANA,257.44,goldvision_synthetic,sell,both
2015-01-07,USD,YER,SANA,260.03,goldvision_synthetic,buy,both
2015-01-07,USD,YER,SANA,258.73,goldvision_synthetic,mid,both
2015-01-07,USD,YER,ADEN,269.38,goldvision_synthetic,buy,both
2015-01-08,USD,YER,TAIZ,261.89,goldvision_synthetic,buy,both
2015-01-08,USD,YER,HODEIDAH,258.27,goldvision_synthetic,sell,both
2015-01-08,USD,YER,HODEIDAH,260.87,goldvision_synthetic,buy,both
2015-01-08,USD,YER,HODEIDAH,259.57,goldvision_synthetic,mid,both
2015-01-08,USD,YER,TAIZ,260.59,goldvision_synthetic,mid,both
2015-01-08,USD,YER,TAIZ,259.29,goldvision_synthetic,sell,both
2015-01-08,USD,YER,ADEN,260.77,goldvision_synthetic,buy,both
2015-01-08,USD,YER,SANA,263.63,goldvision_synthetic,mid,both
2015-01-08,USD,YER,SANA,264.95,goldvision_synthetic,buy,both
2015-01-08,USD,YER,ADEN,258.18,goldvision_synthetic,sell,both
2015-01-08,USD,YER,ADEN,259.47,goldvision_synthetic,mid,both
2015-01-08,USD,YER,SANA,262.32,goldvision_synthetic,sell,both
2015-01-09,USD,YER,TAIZ,249.54,goldvision_synthetic,buy,both
2015-01-09,USD,YER,SANA,252.38,goldvision_synthetic,mid,both
2015-01-09,USD,YER,SANA,253.64,goldvision_synthetic,buy,both
2015-01-09,USD,YER,SANA,251.12,goldvision_synthetic,sell,both
2015-01-09,USD,YER,ADEN,246.6,goldvision_synthetic,mid,both
2015-01-09,USD,YER,ADEN,247.83,goldvision_synthetic,buy,both
2015-01-09,USD,YER,ADEN,245.37,goldvision_synthetic,sell,both
2015-01-09,USD,YER,TAIZ,248.3,goldvision_synthetic,mid,both
2015-01-09,USD,YER,TAIZ,247.06,goldvision_synthetic,sell,both
2015-01-09,USD,YER,HODEIDAH,249.25,goldvision_synthetic,mid,both
2015-01-09,USD,YER,HODEIDAH,250.5,goldvision_synthetic,buy,both
2015-01-09,USD,YER,HODEIDAH,248.01,goldvision_synthetic,sell,both
2015-01-10,USD,YER,TAIZ,231.82,goldvision_synthetic,sell,both
2015-01-10,USD,YER,HODEIDAH,238.26,goldvision_synthetic,mid,both
2015-01-10,USD,YER,TAIZ,234.15,goldvision_synthetic,buy,both
2015-01-10,USD,YER,HODEIDAH,237.07,goldvision_synthetic,sell,both
2015-01-10,USD,YER,HODEIDAH,239.46,goldvision_synthetic,buy,both
2015-01-10,USD,YER,TAIZ,232.98,goldvision_synthetic,mid,both
2015-01-10,USD,YER,ADEN,235.99,goldvision_synthetic,sell,both
2015-01-10,USD,YER,ADEN,238.36,goldvision_synthetic,buy,both
2015-01-10,USD,YER,ADEN,237.17,goldvision_synthetic,mid,both
2015-01-10,USD,YER,SANA,230.38,goldvision_synthetic,sell,both
2015-01-10,USD,YER,SANA,232.69,goldvision_synthetic,buy,both
2015-01-10,USD,YER,SANA,231.54,goldvision_synthetic,mid,both
2015-01-11,USD,YER,HODEIDAH,260.85,goldvision_synthetic,sell,both
