date,aden,sanaa,source
2024-09-01,250.5,248.2,manual
2024-09-02,251.0,248.8,manual
2024-09-03,250.8,248.5,manual
2024-09-04,251.2,249.0,manual
2024-09-05,250.9,248.7,manual
2024-09-06,251.5,249.2,manual
2024-09-07,251.8,249.5,manual
2024-09-08,252.0,249.8,manual
2024-09-09,252.2,250.0,manual
2024-09-10,252.5,250.3,manual
2024-09-11,252.8,250.6,manual
2024-09-12,253.0,250.8,manual
2024-09-13,253.2,251.0,manual
2024-09-14,253.5,251.3,manual
2024-09-15,253.8,251.6,manual
2024-09-16,254.0,251.8,manual
2024-09-17,254.2,252.0,manual
2024-09-18,254.5,252.3,manual
2024-09-19,254.8,252.6,manual
2024-09-20,255.0,252.8,manual
2024-09-21,255.2,253.0,manual
2024-09-22,255.5,253.3,manual
2024-09-23,255.8,253.6,manual
