"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","UsdlK","FQ2IWe src","W4Efsd 7"
"","","","","","","","","","",""
"","","","","","","","","","",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%B9%D8%B1%D9%88%D8%B3+%D8%A7%D9%84%D8%B4%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x1603c57a8ee893ff:0x62f4189f4764ef60!8m2!3d15.2859884!4d44.2228368!16s%2Fg%2F11sdd937j1!19sChIJ_5PojnrFAxYRYO9kR58Y9GI?authuser=0&hl=en&rclk=1","مجوهرات عروس الشام","4.8","(158)","Goldsmith","Closed","· Opens 9 am","·","+967 776 777 033","https://lh3.googleusercontent.com/p/AF1QipNDM64uA6gP2-RMVWSYwQRBX_cLsLEdN4IIwWdq=w80-h106-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D9%85%D8%B1%D9%83%D8%B2+%D8%AF%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x161d3659f449cda3:0x56782128bb13594a!8m2!3d14.0900819!4d44.6676741!16s%2Fg%2F11hcs1mrr9!19sChIJo81J9Fk2HRYRSlkTuygheFY?authuser=0&hl=en&rclk=1","مجوهرات مركز دبي","4.4","(10)","Jewelry store","Open 24 hours","","3MR9+23M","+967 2 456 410","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwq9olphqoVV9N8U9Ce1ap94uJg2efm36bj3-bQPhH4KoKKMcx2hVI9peV5NsMXMTvDHHGs2SPVNKNCCmp4QGiBabno6WgV33P0cMQKGCehRiyiYrh7lDQPdRlSP1otlyHu2fWuXA=w80-h142-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%A8%D9%88%D8%B9%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1603db813c84b2fd:0x64274f2e958b7633!8m2!3d15.351407!4d44.2013833!16s%2Fg%2F11g4h1qshk!19sChIJ_bKEPIHbAxYRM3aLlS5PJ2Q?authuser=0&hl=en&rclk=1","مجوهرات البوعاني","4.1","(121)","Jewelry store","Closed","· Opens 9:30 am","9622+GGR","","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykS246dHeBBIY2DlokZXJW1Vo9u2Y71VdEHrFHgaGe6wiGcHJvtPEVuECrGluQDtUpSRi6rQQc5uPE9Al2wESbqqTey0V88gJYWTXJHMLhhhG1HZbnWmJGR0UOPN2gT3Z1-v2Gfg=w80-h106-k-no",""
"https://www.google.com/maps/place/Alhashdi+Jewelry/data=!4m7!3m6!1s0x1603db15891fa033:0x725745e73145949f!8m2!3d15.3542602!4d44.2066577!16s%2Fg%2F11gr2rndzr!19sChIJM6AfiRXbAxYRn5RFMedFV3I?authuser=0&hl=en&rclk=1","Alhashdi Jewelry","4.3","(101)","Jewelry store","التحرير ، صنعاء ‎ جوار باب السباح على ركن مدخل سوق الذهب بجانب مركز السوداني للإلكترونيات, A1","Closed","","+967 770 702 024","https://lh3.googleusercontent.com/p/AF1QipN5gkAk8YDo2qYP-TCbwBzI89ebs2upwGVgAQic=w80-h106-k-no","· Opens 9:30 am"
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D9%84%D8%B5%D8%A7%D9%86%D8%B9%E2%80%AD/data=!4m7!3m6!1s0x161ce97e9e38819f:0x7020827022690a4a!8m2!3d13.9738036!4d44.1754517!16s%2Fg%2F11fx9mwgbd!19sChIJn4E4nn7pHBYRSgppInCCIHA?authuser=0&hl=en&rclk=1","مجوهرات الصانع","4.9","(10)","Jewelry store","Closed","· Opens 8 am","X5FG+G5G","+967 772 095 000","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwM5n-70aAqT-rhzFJ8roEWgE7X7PY2iQfZk7ECjv3QX9t7TWnjUVtG5vEWdR2ddT0HJjCcLp2LGHxKWTabI2xGGOFRcjwQlv3sdOQGSh3fOM3UwRzcRV_J9XOm4CRDlKA7dT4=w181-h92-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A7%D8%AC%D9%85%D9%84+%D8%AC%D9%88%D9%84%D8%AF2%E2%80%AD/data=!4m7!3m6!1s0x1603cf0000e11995:0x242459bc65d99994!8m2!3d15.2410303!4d44.2527044!16s%2Fg%2F11yq3k25yw!19sChIJlRnhAADPAxYRlJnZZbxZJCQ?authuser=0&hl=en&rclk=1","مجوهرات اجمل جولد2","5.0","(1)","Jewelry store","سوق الوحدة","Closed","","+967 774 667 776","https://lh3.googleusercontent.com/p/AF1QipNHCACHlvP-l_ROWygygkbYnVMLQZOrYKIlOfm1=w80-h113-k-no","· Opens 9 am"
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D9%85%D8%B1%D9%83%D8%B2+%D8%AF%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x161d40efe6920b43:0x9b2ebd82359b4bb3!8m2!3d13.9323829!4d44.7278249!16s%2Fg%2F11f4ypycw8!19sChIJQwuS5u9AHRYRs0ubNYK9Lps?authuser=0&hl=en&rclk=1","مجوهرات مركز دبي","4.0","(4)","Jewelry store","Open 24 hours","","WPJH+X44","+967 2 843 617","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzrXcBk_9i8tXG3TXc4uSO3pOBJ2D1AswycIyZl6cUv3AQBT41bHPded3eOAi84Hn2nq7ff0hFy8R92177nazLYYld_-otvV9-oAqaP6GQBLcFS4DB_dOvzI62w1R1FiQSayFugnw=w80-h142-k-no",""
"https://www.google.com/maps/place/%D9%85%D8%AC%D9%88%D9%87%D8%B1%D8%A7%D8%AA+%D8%A3%D8%A8%D9%88+%D8%AD%D8%A7%D9%81%D8%B8%E2%80%AD/data=!4m7!3m6!1s0x161ce978e3c840ab:0x73ef97aa8a1cacd4!8m2!3d13.9754264!4d44.1782805!16s%2Fg%2F11g9jwblmy!19sChIJq0DI43jpHBYR1KwciqqX73M?authuser=0&hl=en&rclk=1","مجوهرات أبو حافظ","4.3","(59)","Jewelry store","X5GH+58C، الرئيسي جوار مركز النمر, R125","Closed","","+967 777 232 121","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzW1wzGI4Uerw_KH5ZXfzTj8iaQ_HD8ullt1vx-9X6aXGLnNuoZCfjdmUCgesqnR6uWDHgAFxvpoSuBqbAG0VPScvC3QTnXqyS1w5OqrRtsC5GSku6EV8dQ6zwBdMXsHlUBOScKA=w122-h92-k-no","· Opens 8 am"
